frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
158,-1,-1.0 -1.0 -1.0 -1.0,2534.567407608032 2085.3882331848145 2750.8607139587402 2160.0,0,0,0
159,-1,-1.0 -1.0 -1.0 -1.0,2534.40567779541 2085.1966094970703 2750.8235931396484 2160.0,0,0,0
160,-1,-1.0 -1.0 -1.0 -1.0,2534.243947982788 2085.004985809326 2750.7864723205566 2160.0,0,0,0
161,-1,-1.0 -1.0 -1.0 -1.0,2534.082218170166 2084.813362121582 2750.749351501465 2160.0,0,0,0
162,-1,-1.0 -1.0 -1.0 -1.0,2533.920488357544 2084.621738433838 2750.712230682373 2160.0,0,0,0
163,-1,-1.0 -1.0 -1.0 -1.0,2533.758758544922 2084.4301147460938 2750.6751098632812 2160.0,0,0,0
164,-1,-1.0 -1.0 -1.0 -1.0,2533.5970287323 2084.2384910583496 2750.6379890441895 2160.0,0,0,0
165,-1,-1.0 -1.0 -1.0 -1.0,2533.4352989196777 2084.0468673706055 2750.6008682250977 2160.0,0,0,0
166,-1,-1.0 -1.0 -1.0 -1.0,2533.2735691070557 2083.8552436828613 2750.563747406006 2160.0,0,0,0
167,-1,-1.0 -1.0 -1.0 -1.0,2533.1118392944336 2083.663619995117 2750.526626586914 2160.0,0,0,0
168,-1,-1.0 -1.0 -1.0 -1.0,2532.9501094818115 2083.471996307373 2750.4895057678223 2160.0,0,0,0
169,-1,-1.0 -1.0 -1.0 -1.0,2532.7883796691895 2083.280372619629 2750.4523849487305 2160.0,0,0,0
170,-1,-1.0 -1.0 -1.0 -1.0,2532.6266498565674 2083.0887489318848 2750.4152641296387 2160.0,0,0,0
171,-1,-1.0 -1.0 -1.0 -1.0,2532.4649200439453 2082.8971252441406 2750.378143310547 2160.0,0,0,0
172,-1,-1.0 -1.0 -1.0 -1.0,2532.3031902313232 2082.7055015563965 2750.341022491455 2160.0,0,0,0
173,-1,-1.0 -1.0 -1.0 -1.0,2532.141460418701 2082.5138778686523 2750.3039016723633 2160.0,0,0,0
174,-1,-1.0 -1.0 -1.0 -1.0,2531.979730606079 2082.322254180908 2750.2667808532715 2160.0,0,0,0
175,-1,-1.0 -1.0 -1.0 -1.0,2531.818000793457 2082.130630493164 2750.2296600341797 2160.0,0,0,0
176,-1,-1.0 -1.0 -1.0 -1.0,2531.656270980835 2081.93900680542 2750.192539215088 2160.0,0,0,0
177,-1,-1.0 -1.0 -1.0 -1.0,2531.494541168213 2081.747383117676 2750.155418395996 2160.0,0,0,0
178,-1,-1.0 -1.0 -1.0 -1.0,2531.332811355591 2081.5557594299316 2750.1182975769043 2160.0,0,0,0
179,-1,-1.0 -1.0 -1.0 -1.0,2531.1710815429688 2081.3641357421875 2750.0811767578125 2160.0,0,0,0
180,-1,-1.0 -1.0 -1.0 -1.0,2531.0093517303467 2081.1725120544434 2750.0440559387207 2160.0,0,0,0
181,-1,-1.0 -1.0 -1.0 -1.0,2530.8476219177246 2080.980888366699 2750.006935119629 2160.0,0,0,0
182,-1,-1.0 -1.0 -1.0 -1.0,2530.6858921051025 2080.789264678955 2749.969814300537 2160.0,0,0,0
183,-1,-1.0 -1.0 -1.0 -1.0,2530.5241622924805 2080.597640991211 2749.9326934814453 2160.0,0,0,0
184,-1,-1.0 -1.0 -1.0 -1.0,2530.3624324798584 2080.406017303467 2749.8955726623535 2160.0,0,0,0
185,-1,-1.0 -1.0 -1.0 -1.0,2530.2007026672363 2080.2143936157227 2749.8584518432617 2160.0,0,0,0
186,-1,-1.0 -1.0 -1.0 -1.0,2530.0389728546143 2080.0227699279785 2749.82133102417 2160.0,0,0,0
187,-1,-1.0 -1.0 -1.0 -1.0,2529.877243041992 2079.8311462402344 2749.784210205078 2160.0,0,0,0
188,-1,-1.0 -1.0 -1.0 -1.0,2529.71551322937 2079.6395225524902 2749.7470893859863 2160.0,0,0,0
189,-1,-1.0 -1.0 -1.0 -1.0,2529.553783416748 2079.447898864746 2749.7099685668945 2160.0,0,0,0
190,-1,-1.0 -1.0 -1.0 -1.0,2529.392053604126 2079.256275177002 2749.6728477478027 2160.0,0,0,0
191,-1,-1.0 -1.0 -1.0 -1.0,2529.230323791504 2079.064651489258 2749.635726928711 2160.0,0,0,0
192,-1,-1.0 -1.0 -1.0 -1.0,2529.068593978882 2078.8730278015137 2749.598606109619 2160.0,0,0,0
193,-1,-1.0 -1.0 -1.0 -1.0,2528.9068641662598 2078.6814041137695 2749.5614852905273 2160.0,0,0,0
