frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
224,8.0,[1151.8796948779798 1056.5794870215618 1626.1428908233004 1472.0712779238306],[1313.16357421875 1293.0103759765625 1465.6856689453125 1370.374267578125],0.5187453627586365,KA35ZZN,0.10366927026511122
224,1.0,[2055.628265930609 1132.6983053049614 2570.2273084890603 1580.5973435682874],[2228.326416015625 1415.9393310546875 2404.415283203125 1495.8765869140625],0.38523274660110474,AF05JEO,0.13170382370639563
225,1.0,[2055.4844265831484 1134.4270481111218 2573.335291654205 1582.7051857540234],[2237.98193359375 1421.2852783203125 2399.1689453125 1499.0567626953125],0.3135342299938202,AF06JEQ,0.34950040652005204
226,6.0,[921.2888949436131 1491.2902739961128 1658.7840253880938 2078.251036926048],[1182.7369384765625 1860.4412841796875 1382.8939208984375 1946.8363037109375],0.648809015750885,GX15OGJ,0.43177762815622966
226,1.0,[2055.9612423351314 1136.0915382982323 2575.8440268962236 1584.2257672459689],[2234.652099609375 1419.804931640625 2413.3095703125 1500.0325927734375],0.2983214557170868,AF05JEO,0.553925577139873
231,8.0,[1147.141709403113 1068.510558055113 1619.531255881533 1481.8835349162819],[1300.648681640625 1284.486328125 1470.23193359375 1381.8060302734375],0.2552223801612854,KM05ZIC,0.2985274603210521
233,8.0,[1147.2621780376105 1072.1869062292244 1618.8348782076503 1483.7608061094302],[1303.8929443359375 1310.437255859375 1458.308349609375 1384.3660888671875],0.46797358989715576,KH05ZIN,0.305680085372072
234,6.0,[894.2094020223992 1517.8027161986734 1653.202025347062 2108.7818701878077],[1165.69482421875 1900.0079345703125 1369.9537353515625 1982.9869384765625],0.4841488003730774,GX15OGJ,0.18390735929299004
234,8.0,[1147.176388975471 1073.2799781489828 1619.44813124726 1484.3996266083393],[1303.4324951171875 1310.08056640625 1457.5333251953125 1384.1917724609375],0.4798051416873932,KH05ZIV,0.3278674218953133
235,6.0,[893.8921832395431 1519.149741297276 1652.5489671623923 2109.687523653668],[1165.949462890625 1900.087646484375 1369.98779296875 1983.078369140625],0.48794910311698914,GX15OGJ,0.21548111629532463
235,8.0,[1146.9713373468333 1073.728689897066 1619.7575338990398 1484.5554498352244],[1303.4215087890625 1310.0048828125 1457.6597900390625 1384.2322998046875],0.4821600914001465,KH05ZIV,0.3354792885742924
236,6.0,[894.4631293406215 1523.9509683437068 1655.1530416427786 2112.372932911325],[1166.1141357421875 1901.3572998046875 1369.1700439453125 1990.1817626953125],0.6093337535858154,CX15OGJ,0.38626939530869625
236,8.0,[1146.7729076386674 1075.0338701865235 1619.7016423340417 1486.623549846478],[1309.2965087890625 1314.6807861328125 1451.7298583984375 1389.671630859375],0.3509719669818878,KH05ZIK,0.2795369911566176
237,6.0,[895.058152664577 1525.6496621014176 1655.7348277352298 2112.581835356592],[1162.897705078125 1906.9310302734375 1365.3707275390625 1993.3341064453125],0.625087559223175,CX15OGJ,0.29645064696181594
239,6.0,[891.7754364043417 1535.8607150800244 1655.1102848523233 2122.184369807911],[1160.560302734375 1919.1529541015625 1357.4671630859375 2004.8543701171875],0.6263583898544312,GX15OGJ,0.31537800253482207
239,1.0,[2053.991129008743 1159.1719968330685 2586.408560881403 1616.9217018831146],[2231.18359375 1451.654541015625 2425.11279296875 1527.6053466796875],0.3042002022266388,AP05JEO,0.4622847524205793
240,6.0,[884.5628941911216 1538.8856184795416 1652.076957008904 2126.394872863563],[1158.943115234375 1921.4891357421875 1359.865478515625 2005.0584716796875],0.626928985118866,GY15UGJ,0.22044636829783712
240,8.0,[1142.513863159652 1080.3766645070612 1621.6004346448876 1494.8298406837391],[1298.9114990234375 1315.600341796875 1450.3173828125 1395.0916748046875],0.49195268750190735,KH05ZZK,0.40913065670020593
240,1.0,[2050.879974090087 1162.104025468713 2586.5301075999673 1621.1062510102067],[2217.729736328125 1451.50634765625 2433.94873046875 1536.325927734375],0.3835162818431854,AP05JEO,0.26750780701613625
241,6.0,[881.2098332741857 1539.741241163663 1651.6800994906475 2128.132625843731],[1158.9923095703125 1921.51025390625 1359.79541015625 2005.1180419921875],0.6273282170295715,GY15UGJ,0.22044636829783712
241,8.0,[1141.2673805437284 1080.9832883719273 1621.6037566593827 1495.9593219369763],[1298.931884765625 1315.611328125 1450.3011474609375 1395.0875244140625],0.491069495677948,KH05ZZK,0.40913065670020593
241,1.0,[2049.0641237349564 1162.9200177507203 2587.1083718747186 1622.8178873807685],[2217.685791015625 1451.4510498046875 2433.9736328125 1536.3599853515625],0.3839476406574249,AP05JEO,0.18728566832591464
242,8.0,[1138.6391373541385 1081.8683876685318 1621.2146444489933 1497.5567189940884],[1298.61083984375 1318.1905517578125 1447.900390625 1398.56591796875],0.42975443601608276,KH05ZTK,0.2292932736009129
245,8.0,[1135.1068688160876 1088.5567235280753 1619.2880462621374 1506.708803983883],[1310.59716796875 1327.181396484375 1439.0072021484375 1401.802001953125],0.42662134766578674,KH05ZTK,0.3216191321372466
246,1.0,[2042.6425983411582 1171.5792550918445 2590.5956326969135 1639.1036486774797],[2248.1982421875 1464.8155517578125 2408.34375 1547.3148193359375],0.3539482057094574,AP05JEO,0.29603671571125667
247,8.0,[1133.1780258137044 1090.3271900937325 1619.5790716482454 1510.4943664180946],[1313.6397705078125 1328.0450439453125 1443.4095458984375 1403.5181884765625],0.3879612982273102,KH05ZTK,0.31938258442365314
247,1.0,[2041.3909671161914 1173.3533078600356 2590.90481166976 1640.5904892419678],[2248.069091796875 1464.7646484375 2408.3642578125 1547.331298828125],0.3541843593120575,AP05JEO,0.29603671571125667
